"BEVOEGD_GEZAG_CODE","BEVOEGD_GEZAG_NAAM","INSTELLINGSCODE","INSTELLINGSNAAM","VESTIGINGSCODE","VESTIGINGSNAAM","GEMEENTENAAM","PLAATSNAAM","ERKENDEOPLEIDINGSCODE","INSTROOM_EINDDATUM","OPLEIDINGSEENHEIDCODE","EIGEN_OPLEIDINGSEENHEIDSLEUTEL","OPLEIDINGSEENHEID_NAAM","OPLEIDINGSEENHEID_INTERNATIONALE_NAAM","OPLEIDINGSEENHEID_SOORT","STUDIELAST","STUDIELASTEENHEID","NIVEAU","GRAAD","GRAADTOEVOEGING","ISCED","NLQF","EQF","VORM","ONDERDEEL","SUBONDERDEEL","BEKOSTIGINGSNIVEAU","GRONDSLAG_STUDIELAST","BEROEPSEISEN","OPLEIDINGSERKENNINGSKADER","INTENSIEFPROGRAMMA","BEKOSTIGINGSCODE","AANVULLENDE_EISEN","BEKOSTIGINGSDUUR","VESTIGINGSLICENTIE_BEGINDATUM","VESTIGINGSLICENTIE_EINDDATUM","ACCREDITATIE_BESLUITDATUM","ACCREDITATIE_BEGINDATUM","ACCREDITATIE_VERVALDATUM","ACCREDITATIE_AFBOUWDATUM","ACCREDITATIE_INLEVERDATUM","ACCREDITATIE_VOORWAARDENDATUM","ACCREDITATIE_INTREKKINGSDATUM","ACCREDITATIE_UITSTELDATUM","ACCREDITATIE_UITSTELREDEN","SAMENWERKENDEINSTELLINGEN"
"20045","Protestantse Theologische Universiteit (PThU)","00DV","Protestantse Theologische Universiteit","00DV01","Protestantse Theologische Universiteit; Utrecht","Utrecht","UTRECHT","56109",,"1016O1755",,"Theologie",,"OPLEIDING",180,"ECTS_PUNT","WO-BA","BACHELOR","OF_ARTS",221,"6","6","VOLTIJD","TAAL_EN_CULTUUR",,"LAAG","WETTELIJK","GEEN_BEROEPSEISEN","ALGEMEEN",,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",36,2025-09-01,,2025-03-20,2025-09-01,2031-03-20,,,,,,,
"20045","Protestantse Theologische Universiteit (PThU)","00DV","Protestantse Theologische Universiteit","00DV01","Protestantse Theologische Universiteit; Utrecht","Utrecht","UTRECHT","60254",,"1001O6573",,"Theology","Theology","OPLEIDING",60,"ECTS_PUNT","WO-MA","MASTER","OF_ARTS",,"7","7","DEELTIJD","TAAL_EN_CULTUUR",,"LAAG","WETTELIJK","GEEN_BEROEPSEISEN","ALGEMEEN",,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",12,2024-09-01,,2020-04-06,2020-04-06,,,2025-11-01,,,2028-05-02,"ART_5_16_LID_4",
"20045","Protestantse Theologische Universiteit (PThU)","00DV","Protestantse Theologische Universiteit","00DV01","Protestantse Theologische Universiteit; Utrecht","Utrecht","UTRECHT","60254",,"1001O6573",,"Theology","Theology","OPLEIDING",60,"ECTS_PUNT","WO-MA","MASTER","OF_ARTS",,"7","7","VOLTIJD","TAAL_EN_CULTUUR",,"LAAG","WETTELIJK","GEEN_BEROEPSEISEN","ALGEMEEN",,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",12,2024-09-01,,2020-04-06,2020-04-06,,,2025-11-01,,,2028-05-02,"ART_5_16_LID_4",
"20045","Protestantse Theologische Universiteit (PThU)","00DV","Protestantse Theologische Universiteit","00DV01","Protestantse Theologische Universiteit; Utrecht","Utrecht","UTRECHT","66122",,"1001O7267",,"Theologie (Gemeentepredikant)",,"OPLEIDING",180,"ECTS_PUNT","WO-MA","MASTER","OF_ARTS",,"7","7","DEELTIJD","TAAL_EN_CULTUUR",,"LAAG","WETTELIJK","GEEN_BEROEPSEISEN","ALGEMEEN",,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",36,2024-09-01,,2020-04-06,2020-04-06,,,2025-11-01,,,2028-05-02,"ART_5_16_LID_4",
"20045","Protestantse Theologische Universiteit (PThU)","00DV","Protestantse Theologische Universiteit","00DV01","Protestantse Theologische Universiteit; Utrecht","Utrecht","UTRECHT","66122",,"1001O7267",,"Theologie (Gemeentepredikant)",,"OPLEIDING",180,"ECTS_PUNT","WO-MA","MASTER","OF_ARTS",,"7","7","VOLTIJD","TAAL_EN_CULTUUR",,"LAAG","WETTELIJK","GEEN_BEROEPSEISEN","ALGEMEEN",,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",36,2024-09-01,,2020-04-06,2020-04-06,,,2025-11-01,,,2028-05-02,"ART_5_16_LID_4",
"20045","Protestantse Theologische Universiteit (PThU)","00DV","Protestantse Theologische Universiteit","00DV03","Protestantse Theologische Universiteit; Amsterdam","Amsterdam","AMSTERDAM","55004",2025-09-01,"1001O5786",,"Theologie (joint degree)","Theology (joint degree)","OPLEIDING",180,"ECTS_PUNT","WO-BA","BACHELOR","OF_ARTS",,"6","6","DEELTIJD","TAAL_EN_CULTUUR",,"LAAG","WETTELIJK","GEEN_BEROEPSEISEN","ALGEMEEN",,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",36,2012-09-01,2029-09-01,2021-01-11,2021-01-11,,2029-09-01,2026-05-01,,,,,"21PL"
"20045","Protestantse Theologische Universiteit (PThU)","00DV","Protestantse Theologische Universiteit","00DV03","Protestantse Theologische Universiteit; Amsterdam","Amsterdam","AMSTERDAM","55004",2025-09-01,"1001O5786",,"Theologie (joint degree)","Theology (joint degree)","OPLEIDING",180,"ECTS_PUNT","WO-BA","BACHELOR","OF_ARTS",,"6","6","VOLTIJD","TAAL_EN_CULTUUR",,"LAAG","WETTELIJK","GEEN_BEROEPSEISEN","ALGEMEEN",,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",36,2012-09-01,2029-09-01,2021-01-11,2021-01-11,,2029-09-01,2026-05-01,,,,,"21PL"
"20045","Protestantse Theologische Universiteit (PThU)","00DV","Protestantse Theologische Universiteit","00DV04","Protestantse Theologische Universiteit; Groningen","Groningen","GRONINGEN","60261",2024-09-01,"1001O6587",,"Theologie (Predikantschap)",,"OPLEIDING",180,"ECTS_PUNT","WO-MA","MASTER","OF_ARTS",,"7","7","DEELTIJD","TAAL_EN_CULTUUR",,"LAAG","WETTELIJK","GEEN_BEROEPSEISEN","ALGEMEEN",,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",36,2012-09-01,2028-09-01,2020-04-06,2020-04-06,,2028-09-01,2025-11-01,,,2028-05-02,"ART_5_16_LID_4",
"20045","Protestantse Theologische Universiteit (PThU)","00DV","Protestantse Theologische Universiteit","00DV04","Protestantse Theologische Universiteit; Groningen","Groningen","GRONINGEN","60261",2024-09-01,"1001O6587",,"Theologie (Predikantschap)",,"OPLEIDING",180,"ECTS_PUNT","WO-MA","MASTER","OF_ARTS",,"7","7","VOLTIJD","TAAL_EN_CULTUUR",,"LAAG","WETTELIJK","GEEN_BEROEPSEISEN","ALGEMEEN",,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",36,2012-09-01,2028-09-01,2020-04-06,2020-04-06,,2028-09-01,2025-11-01,,,2028-05-02,"ART_5_16_LID_4",
"30041","Stg. Kaht. Opleiding Leraren in het Basisonderwijs","00IC","Hogeschool KPZ","00IC00","Hogeschool KPZ; Zwolle","Zwolle","ZWOLLE","34808",,"1001O4361",,"Opleiding tot leraar Basisonderwijs","Education in Primary Schools (age 4 - 12)","OPLEIDING",240,"ECTS_PUNT","HBO-BA","BACHELOR","OF_EDUCATION",,"6","6","DEELTIJD","ONDERWIJS",,"LAAG","WETTELIJK","BEROEPSEISEN","ALGEMEEN",,"BEKOSTIGD","GEEN_AANVULLENDE_EISEN",48,2002-09-01,,2022-06-01,2022-06-01,,,2028-05-01,,,,,
