"STUDIEJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","TYPE_HOGER_ONDERWIJS","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","OPLEIDINGSCODE_ACTUEEL","OPLEIDINGSNAAM_ACTUEEL","AANTAL_INGESCHREVENEN"
"2020","Drenthe","0106","Assen","reguliere inst.","bachelor","25BE","Hanzehogeschool Groningen","TECHNIEK","n.v.t. (techniek)","34267","B Elektrotechniek",55
"2020","Drenthe","0106","Assen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","34808","B Opleiding tot leraar Basisonderwijs",163
"2020","Drenthe","0106","Assen","reguliere inst.","master","25BE","Hanzehogeschool Groningen","TECHNIEK","n.v.t. (techniek)","40015","M Smart Systems Engineering",28
"2020","Drenthe","0114","Emmen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80009","Ad Tourism Management",27
"2020","Drenthe","0114","Emmen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80040","Ad Leisure & Events Management",48
"2020","Drenthe","0114","Emmen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80041","Ad Hotel Management",122
"2020","Drenthe","0114","Emmen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80103","Ad Commerciele Economie",85
"2020","Drenthe","0114","Emmen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80115","Ad Logistiek en Economie",34
"2020","Drenthe","0114","Emmen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","80140","Ad Sociaal Werk",48
"2020","Drenthe","0114","Emmen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","80071","Ad ICT-Beheer",18
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","30029","B International Business",120
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","34402","B Commerciele Economie",170
