"STUDIEJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","TYPE_HOGER_ONDERWIJS","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","OPLEIDINGSVORM","AANTAL_EERSTEJAARS_INGESCHREVENEN"
"2020","Drenthe","0106","Assen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","DT",22
"2020","Drenthe","0114","Emmen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","DU",7
"2020","Drenthe","0114","Emmen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","VT",96
"2020","Drenthe","0114","Emmen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","DT",9
"2020","Drenthe","0114","Emmen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","VT",12
"2020","Drenthe","0114","Emmen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","VT",5
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","VT",87
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","VT",95
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","DU",-1
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","VT",90
"2020","Drenthe","0119","Meppel","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","VT",95
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","VT",132
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","DT",12
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","leraar basisonderwijs","DT",15
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","DU",30
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","VT",51
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","VT",-1
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","VT",401
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","DT",27
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","VT",117
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","DT",26
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","VT",83
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","leraar basisonderwijs","DT",26
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","leraar basisonderwijs","VT",45
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","DU",-1
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","VT",186
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","VT",127
"2020","Flevoland","0303","Dronten","reguliere inst.","associate degree","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","DT",16
"2020","Flevoland","0303","Dronten","reguliere inst.","associate degree","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","VT",111
"2020","Flevoland","0303","Dronten","reguliere inst.","bachelor","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","VT",430
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","DT",12
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","VT",42
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","DT",20
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","DU",57
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","VT",195
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","DT",9
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","VT",19
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","DT",22
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","DT",-1
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","DU",9
"2020","Friesland","0080","Leeuwarden","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","VT",7
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","25BE","Hanzehogeschool Groningen","TAAL_EN_CULTUUR","opleidingen op het gebied van de kunst","VT",42
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","ECONOMIE","n.v.t. (economie)","VT",6
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","DT",-1
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","VT",489
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","30HD","Hogeschool Van Hall Larenstein","TECHNIEK","n.v.t. (techniek)","VT",31
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","DT",23
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","DU",68
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","VT",2118
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","DT",54
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","VT",330
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","DT",81
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","VT",251
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","DT",35
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","VT",177
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","lerarenopleidingen op het gebied van de kunst","VT",27
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","DT",70
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","VT",196
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","DT",17
"2020","Friesland","0080","Leeuwarden","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","VT",609
"2020","Friesland","0093","Terschelling","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","VT",87
"2020","Gelderland","0200","Apeldoorn","reguliere inst.","bachelor","23AH","Saxion Hogeschool","ECONOMIE","n.v.t. (economie)","DT",7
"2020","Gelderland","0200","Apeldoorn","reguliere inst.","bachelor","23AH","Saxion Hogeschool","ECONOMIE","n.v.t. (economie)","VT",213
"2020","Gelderland","0202","Arnhem","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","DT",60
"2020","Gelderland","0202","Arnhem","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","DU",69
"2020","Gelderland","0202","Arnhem","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","DT",88
"2020","Gelderland","0202","Arnhem","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","DT",50
"2020","Gelderland","0202","Arnhem","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","DU",45
"2020","Gelderland","0202","Arnhem","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","VT",675
"2020","Gelderland","0202","Arnhem","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","leraar basisonderwijs","VT",79
"2020","Gelderland","0202","Arnhem","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","DT",121
"2020","Gelderland","0202","Arnhem","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","TECHNIEK","n.v.t. (techniek)","VT",987
"2020","Gelderland","0202","Arnhem","reguliere inst.","bachelor","27NF","ArtEZ","ONDERWIJS","lerarenopleidingen op het gebied van de kunst","DT",-1
"2020","Gelderland","0202","Arnhem","reguliere inst.","bachelor","27NF","ArtEZ","ONDERWIJS","lerarenopleidingen op het gebied van de kunst","VT",62
"2020","Gelderland","0202","Arnhem","reguliere inst.","bachelor","27NF","ArtEZ","TAAL_EN_CULTUUR","opleidingen op het gebied van de kunst","VT",201
"2020","Gelderland","0222","Doetinchem","reguliere inst.","associate degree","09OT","Iselinge Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","DT",19
"2020","Gelderland","0222","Doetinchem","reguliere inst.","bachelor","09OT","Iselinge Hogeschool","ONDERWIJS","leraar basisonderwijs","DT",16
"2020","Gelderland","0222","Doetinchem","reguliere inst.","bachelor","09OT","Iselinge Hogeschool","ONDERWIJS","leraar basisonderwijs","VT",124
"2020","Gelderland","0228","Ede","reguliere inst.","associate degree","25BA","Christelijke Hogeschool Ede","ECONOMIE","n.v.t. (economie)","DT",15
"2020","Gelderland","0228","Ede","reguliere inst.","associate degree","25BA","Christelijke Hogeschool Ede","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","DT",-1
"2020","Gelderland","0228","Ede","reguliere inst.","associate degree","25BA","Christelijke Hogeschool Ede","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","DU",33
"2020","Gelderland","0228","Ede","reguliere inst.","associate degree","25BA","Christelijke Hogeschool Ede","ONDERWIJS","leraar basisonderwijs","DT",18
"2020","Gelderland","0228","Ede","reguliere inst.","associate degree","25BA","Christelijke Hogeschool Ede","TECHNIEK","n.v.t. (techniek)","DT",-1
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","ECONOMIE","n.v.t. (economie)","DT",27
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","ECONOMIE","n.v.t. (economie)","VT",245
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","DT",104
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","VT",197
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","DT",11
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","DU",50
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","VT",158
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","ONDERWIJS","leraar basisonderwijs","DT",43
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","ONDERWIJS","leraar basisonderwijs","DU",31
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","ONDERWIJS","leraar basisonderwijs","VT",131
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","ONDERWIJS","n.v.t. (onderwijs)","DT",-1
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","ONDERWIJS","n.v.t. (onderwijs)","VT",-1
"2020","Gelderland","0228","Ede","reguliere inst.","bachelor","25BA","Christelijke Hogeschool Ede","TECHNIEK","n.v.t. (techniek)","VT",45
"2020","Gelderland","0268","Nijmegen","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","DT",40
"2020","Gelderland","0268","Nijmegen","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","DU",13
"2020","Gelderland","0268","Nijmegen","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","DT",14
"2020","Gelderland","0268","Nijmegen","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","DU",-1
"2020","Gelderland","0268","Nijmegen","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","leraar basisonderwijs","DT",17
"2020","Gelderland","0268","Nijmegen","reguliere inst.","associate degree","25KB","Hogeschool van Arnhem en Nijmegen","ONDERWIJS","n.v.t. (onderwijs)","DT",6
"2020","Gelderland","0268","Nijmegen","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","DT",-1
"2020","Gelderland","0268","Nijmegen","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","DU",-1
"2020","Gelderland","0268","Nijmegen","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","ECONOMIE","n.v.t. (economie)","VT",1515
"2020","Gelderland","0268","Nijmegen","reguliere inst.","bachelor","25KB","Hogeschool van Arnhem en Nijmegen","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","DT",57
