"STUDIEJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","TYPE_HOGER_ONDERWIJS","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","GESLACHT","AANTAL_INSCHRIJVINGEN"
"2020","Drenthe","0106","Assen","reguliere inst.","bachelor","25BE","Hanzehogeschool Groningen","TECHNIEK","n.v.t. (techniek)","MAN",53
"2020","Drenthe","0106","Assen","reguliere inst.","bachelor","25BE","Hanzehogeschool Groningen","TECHNIEK","n.v.t. (techniek)","VROUW",5
"2020","Drenthe","0106","Assen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","MAN",57
"2020","Drenthe","0106","Assen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","VROUW",111
"2020","Drenthe","0106","Assen","reguliere inst.","master","25BE","Hanzehogeschool Groningen","TECHNIEK","n.v.t. (techniek)","MAN",23
"2020","Drenthe","0106","Assen","reguliere inst.","master","25BE","Hanzehogeschool Groningen","TECHNIEK","n.v.t. (techniek)","VROUW",6
"2020","Drenthe","0114","Emmen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","MAN",158
"2020","Drenthe","0114","Emmen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","VROUW",172
"2020","Drenthe","0114","Emmen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","MAN",8
"2020","Drenthe","0114","Emmen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","VROUW",40
"2020","Drenthe","0114","Emmen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","MAN",18
"2020","Drenthe","0114","Emmen","reguliere inst.","associate degree","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","VROUW",-1
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","MAN",338
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","VROUW",190
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","MAN",107
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","VROUW",196
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","MAN",419
"2020","Drenthe","0114","Emmen","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","VROUW",82
"2020","Drenthe","0119","Meppel","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","MAN",69
"2020","Drenthe","0119","Meppel","reguliere inst.","bachelor","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","VROUW",442
"2020","Drenthe","0119","Meppel","reguliere inst.","master","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","hogere kaderopleiding pedagogiek","MAN",5
"2020","Drenthe","0119","Meppel","reguliere inst.","master","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","hogere kaderopleiding pedagogiek","VROUW",24
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","MAN",277
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","VROUW",195
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","MAN",7
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","VROUW",45
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","leraar basisonderwijs","MAN",-1
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","leraar basisonderwijs","VROUW",47
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","MAN",187
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","VROUW",31
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","MAN",8
"2020","Flevoland","0034","Almere","reguliere inst.","associate degree","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","VROUW",8
"2020","Flevoland","0034","Almere","reguliere inst.","bachelor","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","MAN",820
