"DIPLOMAJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","SOORT_DIPLOMA","GESLACHT","AANTAL_GEDIPLOMEERDEN"
"2019","Drenthe","0106","Assen","reguliere inst.","25BE","Hanzehogeschool Groningen","TECHNIEK","n.v.t. (techniek)","hbo bachelor","MAN",9
"2019","Drenthe","0106","Assen","reguliere inst.","25BE","Hanzehogeschool Groningen","TECHNIEK","n.v.t. (techniek)","hbo bachelor","VROUW",-1
"2019","Drenthe","0106","Assen","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","hbo bachelor","MAN",9
"2019","Drenthe","0106","Assen","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","hbo bachelor","VROUW",23
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo associate degree","MAN",42
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo associate degree","VROUW",54
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo bachelor","MAN",69
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo bachelor","VROUW",46
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","hbo bachelor","MAN",6
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","hbo bachelor","VROUW",27
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo bachelor","MAN",71
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo bachelor","VROUW",10
"2019","Drenthe","0119","Meppel","reguliere inst.","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","hogere kaderopleiding pedagogiek","hbo master","VROUW",6
"2019","Drenthe","0119","Meppel","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","hbo bachelor","MAN",13
"2019","Drenthe","0119","Meppel","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","hbo bachelor","VROUW",46
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","hbo associate degree","MAN",53
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","hbo associate degree","VROUW",69
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","hbo bachelor","MAN",90
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","hbo bachelor","VROUW",71
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo associate degree","MAN",-1
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo associate degree","VROUW",-1
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo bachelor","MAN",5
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo bachelor","VROUW",43
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","MAN",7
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","VROUW",69
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","leraar basisonderwijs","hbo associate degree","MAN",-1
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","leraar basisonderwijs","hbo associate degree","VROUW",13
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","leraar basisonderwijs","hbo bachelor","MAN",6
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","leraar basisonderwijs","hbo bachelor","VROUW",21
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","lerarenopleidingen speciaal onderwijs","hbo master","MAN",5
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","lerarenopleidingen speciaal onderwijs","hbo master","VROUW",11
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","hbo associate degree","MAN",46
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","hbo associate degree","VROUW",-1
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","hbo bachelor","MAN",84
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","hbo bachelor","VROUW",13
"2019","Flevoland","0034","Almere","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo bachelor","MAN",45
"2019","Flevoland","0034","Almere","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo bachelor","VROUW",45
"2019","Flevoland","0303","Dronten","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo associate degree","MAN",30
"2019","Flevoland","0303","Dronten","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo associate degree","VROUW",9
"2019","Flevoland","0303","Dronten","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo bachelor","MAN",182
"2019","Flevoland","0303","Dronten","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo bachelor","VROUW",121
"2019","Flevoland","0303","Dronten","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo master","MAN",5
"2019","Flevoland","0303","Dronten","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo master","VROUW",6
"2019","Friesland","0080","Leeuwarden","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","lerarenopleidingen speciaal onderwijs","hbo master","MAN",-1
"2019","Friesland","0080","Leeuwarden","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","lerarenopleidingen speciaal onderwijs","hbo master","VROUW",7
"2019","Friesland","0080","Leeuwarden","reguliere inst.","25BE","Hanzehogeschool Groningen","TAAL_EN_CULTUUR","opleidingen op het gebied van de kunst","hbo bachelor","MAN",17
"2019","Friesland","0080","Leeuwarden","reguliere inst.","25BE","Hanzehogeschool Groningen","TAAL_EN_CULTUUR","opleidingen op het gebied van de kunst","hbo bachelor","VROUW",9
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo associate degree","MAN",12
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo associate degree","VROUW",6
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo bachelor","MAN",156
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo bachelor","VROUW",152
