"DIPLOMAJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","OPLEIDINGSCODE_ACTUEEL","OPLEIDINGSNAAM_ACTUEEL","SOORT_DIPLOMA","AANTAL_GEDIPLOMEERDEN"
"2019","Drenthe","0106","Assen","reguliere inst.","25BE","Hanzehogeschool Groningen","TECHNIEK","n.v.t. (techniek)","34267","B Elektrotechniek","hbo bachelor",11
"2019","Drenthe","0106","Assen","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","34808","B Opleiding tot leraar Basisonderwijs","hbo bachelor",32
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","30029","B International Business","hbo bachelor",21
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","34402","B Commerciele Economie","hbo bachelor",41
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","35520","B Finance & Control","hbo bachelor",33
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","35522","B Logistics Management","hbo bachelor",20
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80009","Ad Tourism Management","hbo associate degree",7
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80040","Ad Leisure & Events Management","hbo associate degree",5
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80041","Ad Hotel Management","hbo associate degree",60
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80103","Ad Commerciele Economie","hbo associate degree",12
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","80115","Ad Logistiek en Economie","hbo associate degree",12
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","34808","B Opleiding tot leraar Basisonderwijs","hbo bachelor",33
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34280","B Werktuigbouwkunde","hbo bachelor",18
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34396","B Chemie","hbo bachelor",8
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34397","B Biologie en Medisch Laboratoriumonderzoek","hbo bachelor",7
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34475","B Technische Informatica","hbo bachelor",6
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","34479","B Informatica","hbo bachelor",42
