"DIPLOMAJAAR","PROVINCIENAAM","GEMEENTENUMMER","GEMEENTENAAM","SOORT_INSTELLING","INSTELLINGSCODE_ACTUEEL","INSTELLINGSNAAM_ACTUEEL","ONDERDEEL","SUBONDERDEEL","SOORT_DIPLOMA","OPLEIDINGSVORM","AANTAL_GEDIPLOMEERDEN"
"2019","Drenthe","0106","Assen","reguliere inst.","25BE","Hanzehogeschool Groningen","TECHNIEK","n.v.t. (techniek)","hbo bachelor","VT",11
"2019","Drenthe","0106","Assen","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","hbo bachelor","VT",32
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo associate degree","DU",12
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo associate degree","VT",84
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo bachelor","DU",-1
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo bachelor","VT",112
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","hbo bachelor","VT",33
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo bachelor","DU",-1
"2019","Drenthe","0114","Emmen","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo bachelor","VT",80
"2019","Drenthe","0119","Meppel","reguliere inst.","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","hogere kaderopleiding pedagogiek","hbo master","DT",6
"2019","Drenthe","0119","Meppel","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","hbo bachelor","VT",59
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","hbo associate degree","VT",122
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ECONOMIE","n.v.t. (economie)","hbo bachelor","VT",161
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo associate degree","DT",-1
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo bachelor","VT",48
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","DT",-1
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","VT",74
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","leraar basisonderwijs","hbo associate degree","DT",14
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","leraar basisonderwijs","hbo bachelor","DT",-1
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","leraar basisonderwijs","hbo bachelor","VT",26
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","lerarenopleidingen speciaal onderwijs","hbo master","DT",16
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","hbo associate degree","DU",12
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","hbo associate degree","VT",37
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","hbo bachelor","DU",8
"2019","Flevoland","0034","Almere","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","TECHNIEK","n.v.t. (techniek)","hbo bachelor","VT",89
"2019","Flevoland","0034","Almere","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo bachelor","VT",90
"2019","Flevoland","0303","Dronten","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo associate degree","DT",23
"2019","Flevoland","0303","Dronten","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo associate degree","VT",16
"2019","Flevoland","0303","Dronten","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo bachelor","DT",20
"2019","Flevoland","0303","Dronten","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo bachelor","VT",283
"2019","Flevoland","0303","Dronten","reguliere inst.","30TX","Aeres Hogeschool","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo master","DU",11
"2019","Friesland","0080","Leeuwarden","reguliere inst.","01VU","Christelijke Hogeschool Windesheim","ONDERWIJS","lerarenopleidingen speciaal onderwijs","hbo master","DT",9
"2019","Friesland","0080","Leeuwarden","reguliere inst.","25BE","Hanzehogeschool Groningen","TAAL_EN_CULTUUR","opleidingen op het gebied van de kunst","hbo bachelor","VT",26
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo associate degree","DT",-1
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo associate degree","VT",14
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo bachelor","DT",5
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo bachelor","VT",303
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo master","DT",-1
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","LANDBOUW_EN_NATUURLIJKE_OMGEVING","n.v.t. (landbouw en natuurlijke omgeving)","hbo master","VT",-1
"2019","Friesland","0080","Leeuwarden","reguliere inst.","30HD","Hogeschool Van Hall Larenstein","TECHNIEK","n.v.t. (techniek)","hbo bachelor","VT",38
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo associate degree","DT",8
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo associate degree","DU",58
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo associate degree","VT",101
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo bachelor","DT",24
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo bachelor","DU",52
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo bachelor","VT",1447
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ECONOMIE","n.v.t. (economie)","hbo master","VT",79
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo associate degree","DT",-1
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo bachelor","DT",21
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","GEDRAG_EN_MAATSCHAPPIJ","n.v.t. (gedrag en maatschappij)","hbo bachelor","VT",292
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","DT",33
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo bachelor","VT",167
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo master","DT",12
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","GEZONDHEIDSZORG","n.v.t. (gezondheidszorg)","hbo master","VT",-1
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","leraar basisonderwijs","hbo bachelor","VT",130
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","lerarenopleidingen op het gebied van de kunst","hbo bachelor","VT",32
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","hbo bachelor","DT",147
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","hbo bachelor","VT",143
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","ONDERWIJS","n.v.t. (onderwijs)","hbo master","DT",26
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","SECTOROVERSTIJGEND","sectoroverstijgend","hbo master","VT",6
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo associate degree","VT",-1
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo bachelor","DT",9
"2019","Friesland","0080","Leeuwarden","reguliere inst.","31FR","NHL Stenden Hogeschool","TECHNIEK","n.v.t. (techniek)","hbo bachelor","VT",357
